Store,Location,Span,Rate,Time,Review,Application Name
Lively Imagery,Brazil,4 months using the app,5,"February 19, 2021",Wonderful app. It is easy to use and beautifully clean. Great style. Exactly what we were looking for.,Social Testimonial Slider
Oh! So POP,Poland,4 months using the app,5,"November 30, 2020","Definitely a great addition to my Shopify shop (and it's usually really hard for me to find an app that I like). Looks neat even on the free plan and is really easy to set up. I wish it could source the reviews from the store too, but Facebook works perfectly fine. Great work!",Social Testimonial Slider
Sea La Luz CR,Costa Rica,4 months using the app,5,"October 29, 2020",5 Estrellas aunque a veces no me carga las fotografias de perfil... Espero pronto se solucione el inconveniente,Social Testimonial Slider
Saturnial,Canada,3 months using the app,5,"February 3, 2020",This application is extremely easy to use and comes with some neat features as well. The main reason I've given this app a 5 star review however is the AMAZING customer service you get! I had a few questions here and there and they had answers to every question I asked (plus their responses were super quick too)! I recommend this product to anyone who needs a testimonial slider on their page!,Social Testimonial Slider
Polair,United States,3 months using the app,5,"March 12, 2023","A very Simple and easy to use testimonial app, had everything set up within minutes and the template design looks great.",Social Testimonial Slider
Jesusgiftstore,United States,3 months using the app,5,"Edited December 14, 2017",This is an EXCELLENT App and I LOVE it! This App allows me to showcase my store's testimonials from my social media pages. This App is affordable and worth every penny! I highly recommend this App. Here is my store's website if you would like to check out this GREAT App and how it looks www.JesusGiftStore.com  The Testimonial Slider App is located on my HOME page.,Social Testimonial Slider
GeekLoveph,Philippines,3 months using the app,5,"July 31, 2020","Cool app. easy to use. definitely worth the time to install on any store. Thanks, Josh. 10 stars :) :) :)",Social Testimonial Slider
The Costume Room,Ireland,2 months using the app,5,"September 26, 2022","Social Testimonial Slider is a really great app and easy to use, so easy to Import and display on any page of your site",Social Testimonial Slider
iqonic design,Canada,2 months using the app,5,"May 13, 2023",Great app with great pricing. Easy integrated into my store. Very glad that I chose it for my business.,Social Testimonial Slider
Universal Hose and Fittings,United States,2 months using the app,5,"December 7, 2020",Gets the point across. Easy to use. We needed something simple to showcase our testimonials with out being over the top.,Social Testimonial Slider
PooPick,Germany,2 months using the app,5,"October 5, 2020",Outstanding good customer service. Fast response and quality driven answer! The team took time to answer individually and concerning to my specific problem. Thanks!,Social Testimonial Slider
prabhumanfoods,India,2 months using the app,5,"October 24, 2023","After trying a few testimonials apps which did not help my purpose, I am glad that I found Testimonial Hub!!! You guys rock!!",Social Testimonial Slider
HandcraftedSupply,Türkiye,2 months using the app,5,"August 2, 2020","The app is working really good and is easy to install. It could have some more options for the visual edit. However, we are using the free version until now and are looking forward what the full package includes. Really nice app. We recommend",Social Testimonial Slider
American Instrument Exchange,United States,About 2 months using the app,5,"June 20, 2022","The Social Testimonial Slider is easy to use, does what it says, and works reliably. What else could you ask for?",Social Testimonial Slider
PECOPRODUCTS,United States,About 2 months using the app,5,"August 14, 2022","Great app! I looked high and low for an easy app to be able t show reviews on my website, and this one works perfect for a very reasonable price.",Social Testimonial Slider
t3rks Products & Services,Philippines,About 2 months using the app,5,"May 20, 2020","This app really helps a lot in boosting my website, since some of our customers are always asking if we are a legit seller.",Social Testimonial Slider
Lingerie Ponto Com,Brazil,About 2 months using the app,5,"Edited December 7, 2017","SIMPLESMENTE DIVINO MUITO BOM APP CUMPRE OQUE PROMETE , MINHAS ESTRELAS NO GOOGLE COMEÇARAM A APARECER 3 DIAS APOS INICIAR O APP - SUPER RECOMENDADO EXELENTE APLICATIVO NOTA 10 PARABENS AOS DESENVOLVEDORES",Social Testimonial Slider
RockstarShoes,Mexico,About 2 months using the app,5,"December 9, 2020","Muy buena app, la recomiendo para sincronizar las opiniones de Facebook. Me resultó fácil de instalar y usar.",Social Testimonial Slider
Silk Sea,Australia,Over 3 years using the app,4,"December 10, 2019","Great App, doesn't always sync with new testimonials but otherwise good layout and easy to use......",Social Testimonial Slider
Cake N Bunch,India,About 2 months using the app,5,"June 6, 2020","I really like it, I will surely recommend it to other only thing is that how to implement it on a website should be more clear",Social Testimonial Slider
Moress Charms,Thailand,About 4 years using the app,2,"March 16, 2020","App is ok, but reviews not appearing in the review list, and it's not possible to manage them. Remove all manual reviews doesn't work as well.",Social Testimonial Slider
Fabulously Fit SA,South Africa,About 2 months using the app,5,"October 20, 2020","Great app! Does everything it says and works well. I am very happy with it. I would definitely recommended it,",Social Testimonial Slider
The Natural Skincare Queen,United States,Over 2 years using the app,4,"January 27, 2020","This app is simple to use. I like that I can add more credibility to the review by adding the reviewer's picture using just a url from their social media. There was a hiccup the day after I uploaded the app. I could not get back in to add another testimonial, but it was fixed a couple days later. I'd recommend this app!",Social Testimonial Slider
CopperZap,United States,About 1 month using the app,5,"July 25, 2021",This app works well. I can import reviews directly from my Facebook business page. I did have some trouble getting the settings to do what I wanted on mobile vs. desktop. I emailed Josh about it and he gave me instructions to fix the problem. As a non coder I still was unable to get it exactly right but he was willing to go into my store and fix the problem for me. It is now set exactly the way I wanted and I am very pleased with it. Thanks for a great app.,Social Testimonial Slider
Bettyhula,United Kingdom,About 1 month using the app,5,"February 21, 2023",Very happy with it. So easy to set up! The design element is good too which makes it fit your brand nicely,Social Testimonial Slider
Grathawai Homestead Preserves,Australia,About 1 month using the app,5,"January 18, 2021","Great app, easy to set up and navigate and most importantly looks fantastic. Would definite recommend :)",Social Testimonial Slider
Shrees  Fashion Australia,Australia,About 1 month using the app,5,"March 7, 2022",Works like a charm.. Just integrate and forget.. Although pulling reviews automatically would have been a lot more convenient. But the app is doing a lot more for no cost. Good work.,Social Testimonial Slider
Qi-Imagery,Germany,About 1 month using the app,5,"October 24, 2022","So far I'm using the free version of the app and it's really working smoothly!!
I like it very much! Question to the team: If I take the Pro version, will it then be possible to get the translation with Shopify's Translate App?? So far it's not coming in the Localization function.",Social Testimonial Slider
I Have a Bean,United States,About 1 month using the app,5,"January 13, 2022","This is precisely the Reviews app I was looking for. There were some initial technical hurdles to get past but Josh was right on it and got it resolved for us. The price is right and the service has been great. The first time through I had a terrible time getting Google reviews setup properly in this app. It was a technical challenge. I eventually got it, but now I see that Josh has upgraded functionality again. He's made it far easier for his app to snag reviews from Google and import them in. I love this sort of attention to the customer experience. Thank you Josh for a great tool and for your continued improvements to it.
Wish all developers were more like you!
Pete",Social Testimonial Slider
Mantequerías Bravo,Spain,30 days using the app,5,"August 28, 2020","It works great. Exactly what I was looking for. Easy to install an to configurate. 
Thanks for your work",Social Testimonial Slider
Royal Vapes,United Kingdom,23 days using the app,5,"July 13, 2020","Works as advertised! Easy to use, great to be able to use the good feedback we have on our social media page.",Social Testimonial Slider
Casuals Warehouse Clothing,United Kingdom,22 days using the app,5,"October 17, 2020","What a superb app this is, very easy to figure the admin for it and it looks superb on our website. Now looking into paying for more options.",Social Testimonial Slider
EcoLoom,Australia,Over 1 year using the app,4,"Edited July 23, 2020",Used this app to publish our facebook page reviews in the home page of our website. Cool app . Builds your social proof. Thanks to the creator for giving the basic plan for free . Very useful for startups like us.,Social Testimonial Slider
That Couch Place,South Africa,21 days using the app,5,"November 24, 2022","Great App, Does what it says. simple to use. ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc",Social Testimonial Slider
Butcher Baker Grocer,Australia,21 days using the app,5,"May 18, 2023","Love this app. Until I found it, I didn't think it was possible to aggregate all my online reviews into a good looking slider on my shopify homepage, but in a few clicks, Voila! Josh himself also provided some excellent support to help me scrape my Google reviews (which didn't want to be found because my store doesn't have a PlaceID). Now that's personalised service!",Social Testimonial Slider
TIARA CONCEPT STORE,Romania,About 1 year using the app,4,"November 27, 2022",I ve been using the app for almost an year but it has some bugs. The photos of the customers that left a review don't show up. I've tried to contact support but there is no chat or any method to contact them so i got frustrated and deleted the app. Sorry,Social Testimonial Slider
PHS Proud,United States,16 days using the app,5,"November 23, 2020",Does exactly what I wanted. The free version provides visually appealing social reviews for my products. Thanks!,Social Testimonial Slider
Juvalicious,Canada,About 1 year using the app,4,"Edited August 16, 2019","***Update***
I tried out a couple of things and it seems to work well now. Never disliked the app but just got frustrated because our clients were unable to choose their delivery time and date for a while due to app conflicts which reflects badly on us. After unistalling and re-installing multiple apps, I believe that the Social Testimonial Slider wasn't the issue.
Liked this at first but we mow realized that it's mot compatible with another app we are using because of a JQuery issue that interferes with the other app. So I looked for the customer support info and couldn't find much. Then I did find something but am yet to hear back from them.",Social Testimonial Slider
Budd's Controllers,Australia,About 1 year using the app,1,"December 4, 2022","Stopped updating a while ago, I have tried to stop the billing and I can not! I updated the theme to the latest one and now the review app does not work with it, I do not want to pay for this anymore and want it gone but there is physically no button to stop the billing.",Social Testimonial Slider
Forbidden Sweets Australia,Australia,11 months using the app,4,"August 28, 2021","App does what it says on the box!
Free plan allows you to test out the feature and effectiveness of the reviews before committing to the paid plan!",Social Testimonial Slider
Write On! Creative Writing Center,United States,13 days using the app,5,"April 7, 2021",Such an amazing app. It has made adding testimonials/reviews to my site effortless. Easy to use and looks great!,Social Testimonial Slider
dreamparty.pk,Pakistan,12 days using the app,5,"September 8, 2022","Social Testimonial Slider Is the Best App to display your social Review on your site without any extra effort. Easy to Import and Display on any page of your site, Also the Support is amazing.",Social Testimonial Slider
GLAMBAKERY,United States,10 days using the app,5,"Edited July 14, 2020",I have been using this app for awhile now and I absolutely love it. It makes it extremely easy to pull in my reviews and receive feedback from my customers.,Social Testimonial Slider
Texuh Port,Canada,7 months using the app,4,"April 5, 2020",App does a good job displaying testimonials. Fingers crossed for more control over how it displays in the future.,Social Testimonial Slider
SpineCare Engineer,Malaysia,8 days using the app,5,"June 10, 2021","this app is a gem, a must have if you want to import review from facebook. the free plan is very generous, the pro plan is also very afforable, the widget look nice on page, strongly recommended I hope they can improve the UI with more modern design to make it more enjoyable to use",Social Testimonial Slider
Manuka Essentials,New Zealand,6 days using the app,5,"April 8, 2020","Nice and simple - it's easy to use, works well and helpful support. Sometimes the simplest solutions are the best, and this is a prime example! Thanks Josh!",Social Testimonial Slider
Smokin Js,United States,6 days using the app,5,"March 22, 2020",Bullying for reviews isn't cool.  But we've tried a lot of apps with Shopify that don't turn out as expected.  This app did the trick and looks great.,Social Testimonial Slider
Magnolia Beauty,New Zealand,5 days using the app,5,"February 15, 2022",I love the way this testimonial slider looks on my home page! I'm tech challenged and find integrating stuff on shopify a bit challenging sometimes so I was so grateful when Josh was able to help me out answering questions and going above and beyond to get me sorted with HTML codes and integration of the app. Thanks Josh!,Social Testimonial Slider
Little Goody New Shoes Australia,Australia,5 days using the app,5,"May 4, 2020","Really nice app! Thanks Josh. Easy to install and use, even for a nervous newbie. Customisable, making the slider fit with the look of your site is no problem. Best of all, it's free - such a huge support to new businesses and those operating from home in difficult circumstances. I look forward to increased social trust from using this app over time. Thanks again!",Social Testimonial Slider
Rescue Recycle Reuse,Australia,4 days using the app,5,"March 12, 2020",I really like this app. It was easy to install and does exactly as it says. At the moment I’m using the free feature but the upgrades are inexpensive and I may try them a bit later,Social Testimonial Slider
lilasblooms,Singapore,4 days using the app,5,"Edited October 23, 2019","I am thinking if for the mobile version can we have the same layout as the web version for guest to see the reviews by swapping left and right instead of scrolling endlessly down the page . STILL A BRAVOOOO APP! LOVE IT!♥️
Also can I ask why doesn't the Facebook badge appear for layout 1 ?
Is the free version layout one ? I thank you in advance for answering my questions !",Social Testimonial Slider
GlideLok,United States,4 days using the app,5,"March 13, 2020",Works great! Easy to install. So happy it had a free plan. Please keep it free for us small businesses!,Social Testimonial Slider
"Cseles, a felnőtt szörp",Hungary,4 days using the app,5,"December 15, 2022","Very easy to use, fast setup and the customer support is beyond perfection! Very kind and supportive.",Social Testimonial Slider
Rural Aura,United States,2 months using the app,4,"March 22, 2020",I used this app to help me get reviews for my store. Easy to use i like the display. Writing manual reviews used to be free now you have to pay for it. 4 stars because there is no option for customers to enter the reviews themselves which should be added to the paid feature. Also I wanted a feature to manually organize my reviews and there is not an option to do so.,Social Testimonial Slider
Benny's Gems Creations,Singapore,28 days using the app,4,"June 9, 2021",very easy and free app to put your review on your store. will recommend it to those who wants to add credibility to your store,Social Testimonial Slider
Bartleby's Ice Cream Cakes,United States,About 11 hours using the app,5,"August 21, 2023","I honestly can't believe how easy this app was to install! I went from thinking ""I should have an app that shows our social reviews on our own website"" to having the app completely installed and working flawlessly in less than an hour. The free version works perfectly and the instructions are clear and simple. One of the best Shopify app experiences I've had so far.",Social Testimonial Slider
Deckbagz,United States,About 3 hours using the app,5,"Edited May 5, 2018","OK so I took a chance on an app with only a couple of reviews.  SOOOO HAPPY I DID!!!  This is the answer I have been searching for, so simple to install, easy to use and beautifully designed.  When you realize what this app can do for you, including a beautiful and fully customizable testimonials slider on your home page, a smartly laid out customer reviews page, google reviews snippet and more, you will race to the computer to write your review too.  Don't be scared, go ahead and get this one!  Literally the best app I've ever installed!  After about an hour and a half had it up and running completely!  I liked it so much I didn't even wait for the free trial to expire.  $2.99 a month?!!??   If you don't have it, you could probably be making more sales.  Just don't tell my competitors!     www.deckbagz.com",Social Testimonial Slider
Gypsy Tableware Designs,Australia,About 3 hours using the app,5,"August 31, 2018","I love the Black Square Tablecloth. Thanks so much.
Peter Jolly",Social Testimonial Slider
bestcased,Poland,20 minutes using the app,1,"December 4, 2018",Rubbish. Does not let you test it as the manual testimonial feature is only available if you buy the Pro plan.,Social Testimonial Slider
EraOfOliveOil,United States,8 minutes using the app,1,"July 9, 2021","No reviews or anything showed up in my website, I made everything in the app but it did not connect to store. No publish button or anything.",Social Testimonial Slider
Seatiful,Canada,Unknown,5,"February 24, 2020",I use it to display testimonials from Facebook on my website.  The integration is easy and I like the display options.,Social Testimonial Slider
Repcillin,South Africa,11 months using the app,5,"November 14, 2024","Could not recommend Reputon Testimonials more highly! It's super simple to set up and instantly showcases stunning reviews in a beautiful, clean layout. The whole process is effortless. Their customer support is fast and helpful too. Do yourself a favour and buy the premium version, so affordable.",Reputon Testimonials
Disha Sharma,India,14 days using the app,5,"September 18, 2024","App is very easy to use. Customer support is very fast. App has some great features. If you need any change, you can always contact the customer support team.",Reputon Testimonials
Focus Boost,Italy,3 months using the app,5,"November 29, 2024","After the update , it's much bettere the look of the cards",Reputon Testimonials
Jinxe Media Tech,Fiji,About 2 months using the app,5,"October 19, 2024",It's a great choice for a online business platform,Reputon Testimonials
Shaofang Silks,United States,About 2 months using the app,5,"November 15, 2024",very helpful in assisting me to resolve my issue.,Reputon Testimonials
Health is Wealth,United States,19 days using the app,5,"October 18, 2024",So simple and. Great addition to my store!!,Reputon Testimonials
Revive,Singapore,4 days using the app,5,"August 2, 2024","Easy to use, different options to display the testimonials to make the website more enticing. Wish could provide more free testimonials though.",Reputon Testimonials
Wel-Ark,India,10 months using the app,5,"October 3, 2024",Wel-ark supplement is best.,Reputon Testimonials
Gifted Boxes,United States,About 1 month using the app,5,"July 9, 2024",Great app and easy to use. Straight to the point and quick. Also affordable if you need the other plan. Thank you,Reputon Testimonials
ECOFLASH,United States,3 days using the app,5,"October 8, 2024",is useful app to use,Reputon Testimonials
GadgetGlide,India,About 1 month using the app,5,"October 4, 2024",Super,Reputon Testimonials
Juvent Health,United States,About 1 month using the app,5,"September 19, 2024",Nice program.,Reputon Testimonials
irispixx.com,Germany,4 days using the app,5,"November 12, 2024",perfect,Reputon Testimonials
MyVitaZone,United States,19 days using the app,5,"October 18, 2024",Good app.,Reputon Testimonials
KAÖS,Italy,About 11 hours using the app,5,"November 17, 2024",molto utile,Reputon Testimonials
My Store,Nigeria,30 minutes using the app,4,"September 19, 2024",Nice app and gets the work done but if you want your reviews more personalized (changing the color or font to your taste etc) you have to pay for those features.,Reputon Testimonials
PPL Crystal,Hong Kong SAR,2 days using the app,5,"September 2, 2024",well done很好,Reputon Testimonials
Sageewellness,Canada,8 days using the app,5,"November 15, 2024",great app,Reputon Testimonials
Yhazy,Colombia,About 20 hours using the app,5,"November 27, 2024",Awesome!,Reputon Testimonials
My Store,United States,3 days using the app,5,"September 16, 2024","Easy to use, exceptional app.",Reputon Testimonials
Mega Products U.S.A.,United States,3 days using the app,5,"August 12, 2024",Easy to install and use.,Reputon Testimonials
DAMANCI,United States,13 days using the app,5,"June 4, 2024","Amazing application, the design is wonderful and with a dark theme as I wanted, I already love it and I am trying the free plan, I totally recommend it and soon I will acquire the paid plan, keep up the good work guys",Reputon Testimonials
Lumina Focus,Canada,5 days using the app,5,"August 23, 2024",very good,Reputon Testimonials
Jasmine Arts,United Arab Emirates,7 minutes using the app,5,"November 15, 2024",very cool,Reputon Testimonials
Spiritual Warfare,Australia,About 23 hours using the app,5,"November 13, 2024",yeah its great,Reputon Testimonials
Vyayama,Chile,About 1 month using the app,5,"October 16, 2024",Se ve bueno,Reputon Testimonials
velarixil,United States,1 minute using the app,4,"November 21, 2024",i like it basic yet effective it solves the issue for free,Reputon Testimonials
I'm a Detroit Girl Clothing Creations LLC,United States,6 months using the app,5,"April 29, 2024","I'm excited to share my love for the Reputon Testimonials Slider! It's my top recommendation for anyone wanting to enhance their website's credibility. This app is fantastic—it's user-friendly, showcases customer feedback beautifully, and seamlessly blends with any website style. Plus, you can easily customize it to match your brand's vibe. It's such a game-changer for boosting trust and driving sales. Trust me, you'll adore it as much as I do!",Reputon Testimonials
LUXE LOOM,Germany,2 months using the app,5,"September 26, 2024",chgh,Reputon Testimonials
NatureFoodPetssoaps,United States,3 months using the app,5,"April 25, 2024",I personally check reviews before making purchases. This is great to see what other people thought of the products prior to making a purchase.,Reputon Testimonials
My Store,India,About 1 hour using the app,5,"October 11, 2024",nice,Reputon Testimonials
Formulife,United States,44 minutes using the app,5,"September 25, 2024",Nice app,Reputon Testimonials
My Store,Pakistan,About 1 hour using the app,5,"October 29, 2024",good,Reputon Testimonials
Sleek Denim,United States,5 minutes using the app,5,"October 13, 2024",so far so good,Reputon Testimonials
Circuit Swag,India,4 days using the app,5,"June 24, 2024",Great feature to use on Shopify site!,Reputon Testimonials
Dream Design,India,2 minutes using the app,4,"August 5, 2024","I completely love this site, at first now I just order directly through them...I am always complemented on my outfits I will be back for more...Thank you for having cute trendy clothes that fit and look good.",Reputon Testimonials
Dropmercashop,Peru,5 days using the app,5,"October 2, 2024",EXCELENTE,Reputon Testimonials
Wiggle and Wag,United Kingdom,8 months using the app,5,"July 9, 2024",great app,Reputon Testimonials
Prime acessórios,Brazil,22 days using the app,5,"July 5, 2024",Muito bom,Reputon Testimonials
Pottery GoGo,United States,5 months using the app,5,"February 14, 2024",Easy to use and does the job. You don't need to be a computer wizard to use it. Very user friendly. 5 Stars.,Reputon Testimonials
Aqua Face Facial Bar,United Arab Emirates,5 minutes using the app,5,"November 21, 2024",good,Reputon Testimonials
DigiVerse_8rt,Luxembourg,About 24 hours using the app,5,"October 8, 2024",..,Reputon Testimonials
ReflectMe Inc,United States,Unknown,5,"October 10, 2024",so needed love it thanks a ton,Reputon Testimonials
Lighting Dragon,Belize,4 months using the app,5,"July 7, 2024",Great,Reputon Testimonials
My Store,India,Unknown,5,"August 21, 2024",very good app if this provide all free services,Reputon Testimonials
Quick easy store,Pakistan,About 1 month using the app,5,"June 18, 2024",This PRODUCT IS BEAST,Reputon Testimonials
OME,United States,About 2 hours using the app,5,"July 21, 2024",Really awesome software!,Reputon Testimonials
Jusfav,India,4 months using the app,5,"February 24, 2024",Love these nails! They fit perfectly and are great quality,Reputon Testimonials
Ribbit Store,India,3 minutes using the app,5,"October 14, 2024",great,Reputon Testimonials
Safe Ride 4 Kids,United States,18 minutes using the app,1,"Edited June 21, 2024","Loaded the app but every time I hit a button to try to do something to see how it worked or looked, I got a message saying I needed to upgrade the plan. So I can't really take it for a test run. Guess I'll be removing it now and looking for another solution. -- Update: I couldn't even add a single testimonial manually. The only option I seemed to have was importing via csv file but even when I clicked that button it said I had to upgrade.",Reputon Testimonials
Pashut Notion,Israel,2 minutes using the app,5,"June 25, 2024",Great app. love the way its free and got great features and also looks good.,Reputon Testimonials
Deysi Sanchez,United States,3 months using the app,5,"May 30, 2024",Good App,Reputon Testimonials
ShipEasyExpress,United States,About 1 hour using the app,5,"April 29, 2024","This Temu shoe is an example of the ability to create. This is a shoe with the ability to reduce stress on the feet and, at the same time, beautiful. The use of colors placed with art make this shoe unique. I love them.",Reputon Testimonials
DermaFaze,Pakistan,About 16 hours using the app,5,"July 4, 2024",good,Reputon Testimonials
Bright Scooters,United States,25 days using the app,5,"May 14, 2024",thanks,Reputon Testimonials
Wellness By Sara,United States,4 months using the app,5,"March 18, 2024",Amazing,Reputon Testimonials
Lila,Chile,17 minutes using the app,5,"August 22, 2024",facil de usar,Reputon Testimonials
JancoraShop.com,Dominican Republic,2 minutes using the app,5,"July 26, 2024",me gusta,Reputon Testimonials
Studio G Telluride Facials,United States,6 minutes using the app,5,"January 5, 2024","After years of acne struggles and futile attempts with topical products, I discovered Ginger, the owner of Studio G. Instead of endless spending on ineffective treatments, Ginger guided me to address my skin concerns from the inside out. Through extensive consultations, she tailored a plan involving dietary changes and Osmosis products, particularly the Skin Defense supplement. Thanks to Ginger's expertise and Osmosis, my skin has cleared up remarkably, boosting my confidence and minimizing the need for heavy makeup. Grateful for Ginger's care and guidance in achieving clearer, healthier skin!",Reputon Testimonials
Katin,China,26 days using the app,5,"March 6, 2024",good,Reputon Testimonials
AmberLykins,United States,About 1 hour using the app,5,"May 15, 2024",Simple and easy to use,Reputon Testimonials
Jay Sells,France,23 days using the app,5,"December 16, 2023",great,Reputon Testimonials
World Of Products Online,United States,About 22 hours using the app,5,"February 22, 2024",Easy to use.,Reputon Testimonials
Dezyn'Art,Guadeloupe,18 days using the app,4,"February 14, 2024",C'est une bonne application.,Reputon Testimonials
Online Trends,India,3 months using the app,4,"February 12, 2024",good,Reputon Testimonials
TheRightWay,Belgium,7 minutes using the app,1,"February 26, 2024",useless there are a lot of better apps that to the same but better,Reputon Testimonials
Trendupbox,Malaysia,25 minutes using the app,5,"April 8, 2024",All in one,Reputon Testimonials
La Nuit est Belle,France,About 21 hours using the app,4,"January 23, 2024","Super !
Je commence tout juste à l'utiliser, et je suis simplement très heureuse que mes clientes puissent y laisser leur avis.",Reputon Testimonials
Zjajah Creation,United States,Over 2 years using the app,5,"July 30, 2021",I like still it am learning my way with it am new at this app let see how it goes the price is right…,Reputon Testimonials
Fizz Fairy Krazycolours Inc.,Canada,Over 2 years using the app,5,"April 21, 2022",Thank you Alex and team for helping us during a stressful few days where we thought we lost all of our collected reviews. Alex was quick to respond right away and was able to resolve our issue for us within 2-3 days. Thank you so much from the Fizz Fairy Team! 5 star service and 5 star app!,Reputon Testimonials
Frugal Farmers CBD,United States,About 2 years using the app,5,"May 11, 2022","It is great, thanks so much! I used it easily and it worked the way it was inteded to. Makes my site look much more respectable.",Reputon Testimonials
Orffit,United States,About 2 years using the app,5,"August 6, 2022","I use this app to help me adding testimonials to my store, and stand out my store. Let see how works",Reputon Testimonials
Smart Moves Play Place Shop,Canada,About 2 years using the app,5,"August 4, 2021",I like how this app allows you to have your own QR code for customers to scan to easily access a place to leave reviews.,Reputon Testimonials
Vacuum Tubes Treasures,Italy,Almost 2 years using the app,5,"Edited May 16, 2024","Ottima App, installazione semplice e funzionale. Configurazione rapida e con varie modalità di visualizzazione. 5 Stelle meritate.",Reputon Testimonials
houseofnur_sales,India,11 minutes using the app,5,"February 14, 2024",Good ! very easy to integrate,Reputon Testimonials
glowuplab,Australia,Almost 2 years using the app,5,"February 25, 2023","easy to use, great function for our website, very happy with the services that have been offered. would rec",Reputon Testimonials
Beauty Pets Online Shop,Italy,Over 1 year using the app,5,"September 14, 2021",Ottima app per raccogliere e tenere sotto controllo i feedback dei tuoi clienti. Consigliatissima....,Reputon Testimonials
INVERSIONES D&M S.A.S,Colombia,Over 1 year using the app,5,"May 11, 2022","fácil instalación, fácil configuración. El costo puede ser un poco alto mensual o deberían tener un plan de pagos anual",Reputon Testimonials
Nikki Doodles,United States,Over 1 year using the app,5,"November 8, 2022",very easy to use love it . Exactly what I was looking for when searching for this content. I highly recommend it everyone,Reputon Testimonials
Chey.co_LA,United States,Over 1 year using the app,5,"March 29, 2022",It was easy to install and I needed to boost to sales. My customers wanted to let reviews and I didn't know how they would until I came across this app in my Shopify app recommendations.,Reputon Testimonials
"Riciclone Smartphone - Vendita acquisto e riparazione smartphone, tablet, notebook usati",Italy,Over 1 year using the app,5,"March 2, 2022","Molto utile, facile da settare e da utilizzare sul proprio sito. Usata con il piano gratuito, non escludo di passare alla versione a pagamento presto.",Reputon Testimonials
TOGOCUTLERY,United States,About 1 year using the app,5,"December 4, 2022",This is a must have app. I would recommend it to all of my friends and family with business. thank you so much developers,Reputon Testimonials
Fuzzy Fix,Australia,About 1 year using the app,5,"October 18, 2022",Simple easy to install and easy for customers to leave reviews. Can’t think of anything that would improve the app. Would highly recommend.,Reputon Testimonials
Scent Niche Perfumery,United States,About 1 year using the app,5,"February 24, 2022",Easy to use! I have been looking for an app for my website and I have finally found an effective app with great ratings.,Reputon Testimonials
The Useful Things Shop,United States,About 1 year using the app,5,"October 10, 2022","So far, it works as described. I'm a free user but will go paid as my store grows. Thanks for a great, straight-forward, easy-to-use product.",Reputon Testimonials
Yarachic,Italy,About 1 year using the app,5,"October 29, 2023",perfetta,Reputon Testimonials
IDPrinting LTD,United Kingdom,12 months using the app,5,"March 1, 2023","Great and easy to use app :) You've acquired a very happy customer. Only on the free version for now but will definitely upgrade in the coming weeks.
Thank you!",Reputon Testimonials
HondaBigWing,India,12 months using the app,5,"August 27, 2022","placeholder=""I used this app to help me do x. I really like how it does y. It would be nice if it did z better.""",Reputon Testimonials
The Village Shop KC,United States,12 months using the app,5,"September 28, 2022",It works! I love it! It was really easy to install on my website. I will for sure continue to use it!,Reputon Testimonials
readyrocketresources,Australia,12 months using the app,5,"March 11, 2022","Found it really easy to use and very effective with website. Overall, happy with this as I am using the free version.",Reputon Testimonials
The Baha Shop,United States,11 months using the app,5,"July 2, 2021","I recommend this app to every store owner who wants to increase social proof, store trustworthiness and credibility. You can ask a customer for any photo (of a product, of a customer, etc) and the layouts list is very flexible. There is a link with testimonial input that you can share with your best customers so they can effortlessly provide you a direct feedback!",Reputon Testimonials
GoSexystyle.com,Finland,11 months using the app,5,"July 20, 2021","Simple app for quickly embedding testimonials. put your picture/text, etc. Very simple setup and customization",Reputon Testimonials
Venus Solutions Software ltda.,Canada,11 months using the app,5,"March 28, 2022","Amazing easy and fast, recommend it! Love the interface, easy collections of testimonials, proof of sales.",Reputon Testimonials
L' Abeille éclairée,France,11 months using the app,5,"March 15, 2023","L'application est très facile à installer et fluide. De plus, il y a l'option français. Le prix est également intéressant.",Reputon Testimonials
Pink Passions Shoe Boutique,United States,10 months using the app,5,"August 4, 2021",This app was easy to navigate and self explanatory. The upgrade is very inexpensive so I definitely recommend getting that to have more features. Overall the app is great.,Reputon Testimonials
KultiveTaVille,France,10 months using the app,5,"November 19, 2023",Genial,Reputon Testimonials
Baby Stop,United States,10 months using the app,5,"December 17, 2022",its awesome and very easy to use. Great service with any questions or problems anyone may have. They really help get your store up and running and get good reviews easy.,Reputon Testimonials
Kwiketo,United Kingdom,10 months using the app,5,"August 2, 2022",We use this app for our store and it works very well! It helps us with our social proof and testimonials which is crucial for any online store.,Reputon Testimonials
The Headband Emporium,United States,9 months using the app,5,"February 21, 2022",very easy to use and the QR code they give you makes it easy to share to past customers to help build your business!,Reputon Testimonials
Mala & Me (AU),Australia,9 months using the app,5,"December 7, 2022",Just what I was looking for! Easy to use and allows you to display the testimonials either on the top or bottom of page. Thank you!,Reputon Testimonials
Get Sharp Coaching,United States,9 months using the app,5,"October 6, 2022","Easy to use and not very costly! Gave me what I was looking for, which was a professional Home Page.",Reputon Testimonials
