Store,Location,Span,Rate,Time,Review,Application Name
Trendupbox,Malaysia,25 minutes using the app,5,"April 8, 2024",All in one,Reputon Customer Reviews App
La Nuit est Belle,France,About 21 hours using the app,4,"January 23, 2024","Super !
Je commence tout juste à l'utiliser, et je suis simplement très heureuse que mes clientes puissent y laisser leur avis.",Reputon Customer Reviews App
Zjajah Creation,United States,Over 2 years using the app,5,"July 30, 2021",I like still it am learning my way with it am new at this app let see how it goes the price is right…,Reputon Customer Reviews App
Fizz Fairy Krazycolours Inc.,Canada,Over 2 years using the app,5,"April 21, 2022",Thank you Alex and team for helping us during a stressful few days where we thought we lost all of our collected reviews. Alex was quick to respond right away and was able to resolve our issue for us within 2-3 days. Thank you so much from the Fizz Fairy Team! 5 star service and 5 star app!,Reputon Customer Reviews App
Frugal Farmers CBD,United States,About 2 years using the app,5,"May 11, 2022","It is great, thanks so much! I used it easily and it worked the way it was inteded to. Makes my site look much more respectable.",Reputon Customer Reviews App
Orffit,United States,About 2 years using the app,5,"August 6, 2022","I use this app to help me adding testimonials to my store, and stand out my store. Let see how works",Reputon Customer Reviews App
Smart Moves Play Place Shop,Canada,About 2 years using the app,5,"August 4, 2021",I like how this app allows you to have your own QR code for customers to scan to easily access a place to leave reviews.,Reputon Customer Reviews App
Vacuum Tubes Treasures,Italy,Almost 2 years using the app,5,"Edited May 16, 2024","Ottima App, installazione semplice e funzionale. Configurazione rapida e con varie modalità di visualizzazione. 5 Stelle meritate.",Reputon Customer Reviews App
houseofnur_sales,India,11 minutes using the app,5,"February 14, 2024",Good ! very easy to integrate,Reputon Customer Reviews App
glowuplab,Australia,Almost 2 years using the app,5,"February 25, 2023","easy to use, great function for our website, very happy with the services that have been offered. would rec",Reputon Customer Reviews App
Beauty Pets Online Shop,Italy,Over 1 year using the app,5,"September 14, 2021",Ottima app per raccogliere e tenere sotto controllo i feedback dei tuoi clienti. Consigliatissima....,Reputon Customer Reviews App
INVERSIONES D&M S.A.S,Colombia,Over 1 year using the app,5,"May 11, 2022","fácil instalación, fácil configuración. El costo puede ser un poco alto mensual o deberían tener un plan de pagos anual",Reputon Customer Reviews App
Nikki Doodles,United States,Over 1 year using the app,5,"November 8, 2022",very easy to use love it . Exactly what I was looking for when searching for this content. I highly recommend it everyone,Reputon Customer Reviews App
Chey.co_LA,United States,Over 1 year using the app,5,"March 29, 2022",It was easy to install and I needed to boost to sales. My customers wanted to let reviews and I didn't know how they would until I came across this app in my Shopify app recommendations.,Reputon Customer Reviews App
"Riciclone Smartphone - Vendita acquisto e riparazione smartphone, tablet, notebook usati",Italy,Over 1 year using the app,5,"March 2, 2022","Molto utile, facile da settare e da utilizzare sul proprio sito. Usata con il piano gratuito, non escludo di passare alla versione a pagamento presto.",Reputon Customer Reviews App
TOGOCUTLERY,United States,About 1 year using the app,5,"December 4, 2022",This is a must have app. I would recommend it to all of my friends and family with business. thank you so much developers,Reputon Customer Reviews App
Fuzzy Fix,Australia,About 1 year using the app,5,"October 18, 2022",Simple easy to install and easy for customers to leave reviews. Can’t think of anything that would improve the app. Would highly recommend.,Reputon Customer Reviews App
Scent Niche Perfumery,United States,About 1 year using the app,5,"February 24, 2022",Easy to use! I have been looking for an app for my website and I have finally found an effective app with great ratings.,Reputon Customer Reviews App
The Useful Things Shop,United States,About 1 year using the app,5,"October 10, 2022","So far, it works as described. I'm a free user but will go paid as my store grows. Thanks for a great, straight-forward, easy-to-use product.",Reputon Customer Reviews App
Yarachic,Italy,About 1 year using the app,5,"October 29, 2023",perfetta,Reputon Customer Reviews App
IDPrinting LTD,United Kingdom,12 months using the app,5,"March 1, 2023","Great and easy to use app :) You've acquired a very happy customer. Only on the free version for now but will definitely upgrade in the coming weeks.
Thank you!",Reputon Customer Reviews App
HondaBigWing,India,12 months using the app,5,"August 27, 2022","placeholder=""I used this app to help me do x. I really like how it does y. It would be nice if it did z better.""",Reputon Customer Reviews App
The Village Shop KC,United States,12 months using the app,5,"September 28, 2022",It works! I love it! It was really easy to install on my website. I will for sure continue to use it!,Reputon Customer Reviews App
readyrocketresources,Australia,12 months using the app,5,"March 11, 2022","Found it really easy to use and very effective with website. Overall, happy with this as I am using the free version.",Reputon Customer Reviews App
The Baha Shop,United States,11 months using the app,5,"July 2, 2021","I recommend this app to every store owner who wants to increase social proof, store trustworthiness and credibility. You can ask a customer for any photo (of a product, of a customer, etc) and the layouts list is very flexible. There is a link with testimonial input that you can share with your best customers so they can effortlessly provide you a direct feedback!",Reputon Customer Reviews App
GoSexystyle.com,Finland,11 months using the app,5,"July 20, 2021","Simple app for quickly embedding testimonials. put your picture/text, etc. Very simple setup and customization",Reputon Customer Reviews App
Venus Solutions Software ltda.,Canada,11 months using the app,5,"March 28, 2022","Amazing easy and fast, recommend it! Love the interface, easy collections of testimonials, proof of sales.",Reputon Customer Reviews App
L' Abeille éclairée,France,11 months using the app,5,"March 15, 2023","L'application est très facile à installer et fluide. De plus, il y a l'option français. Le prix est également intéressant.",Reputon Customer Reviews App
Pink Passions Shoe Boutique,United States,10 months using the app,5,"August 4, 2021",This app was easy to navigate and self explanatory. The upgrade is very inexpensive so I definitely recommend getting that to have more features. Overall the app is great.,Reputon Customer Reviews App
KultiveTaVille,France,10 months using the app,5,"November 19, 2023",Genial,Reputon Customer Reviews App
Baby Stop,United States,10 months using the app,5,"December 17, 2022",its awesome and very easy to use. Great service with any questions or problems anyone may have. They really help get your store up and running and get good reviews easy.,Reputon Customer Reviews App
Kwiketo,United Kingdom,10 months using the app,5,"August 2, 2022",We use this app for our store and it works very well! It helps us with our social proof and testimonials which is crucial for any online store.,Reputon Customer Reviews App
The Headband Emporium,United States,9 months using the app,5,"February 21, 2022",very easy to use and the QR code they give you makes it easy to share to past customers to help build your business!,Reputon Customer Reviews App
Mala & Me (AU),Australia,9 months using the app,5,"December 7, 2022",Just what I was looking for! Easy to use and allows you to display the testimonials either on the top or bottom of page. Thank you!,Reputon Customer Reviews App
Get Sharp Coaching,United States,9 months using the app,5,"October 6, 2022","Easy to use and not very costly! Gave me what I was looking for, which was a professional Home Page.",Reputon Customer Reviews App
Matters Of My Mind,New Zealand,9 months using the app,5,"January 8, 2023","I have just installed this app and created my first two sliders, and I'm extremely happy with how well it's going.  I was holding my breath for a while, expecting limitations or the need for another paid app to pop up and spoil everything, but this hasn't happened.  Well done Reputon!",Reputon Customer Reviews App
Amitha Fashions,United States,8 months using the app,5,"June 29, 2022",It is useful app for POS applications. Many apps exist for online but not many for POS system. Like it,Reputon Customer Reviews App
angegraciela,United States,8 months using the app,5,"March 11, 2023",Easy to use great app. I like how you can set up how the testimonials are displayed on your website. I would recommend this app.,Reputon Customer Reviews App
Graphic Tees & Co.,United States,8 months using the app,5,"October 4, 2022","Solid app, just having issues figuring out how to link my testimonials to the submitted testimonials by my customers!",Reputon Customer Reviews App
Alise Body Care,United States,7 months using the app,5,"September 25, 2023","This app is meeting our needs for capturing leads and the best part, updating the slider we have embedded in our website.  They include this with the free plan and for us small businesses that are just at the beginning stages of gathering reviews, it's a nice feature to have - again, on the FREE plan.  Thank you!",Reputon Customer Reviews App
GamesTumble,United States,7 months using the app,5,"April 5, 2022",I used this app to help me do a custom slider testimonial. So easy to use and easy to install. Thank You!,Reputon Customer Reviews App
Glow up,United States,7 months using the app,5,"May 31, 2022","I simply love this app, i will recommend you guys. however i am still learning about this app. try this app.",Reputon Customer Reviews App
My Store,Spain,7 days using the app,5,"December 18, 2023",muy útil,Reputon Customer Reviews App
Wikuk,Mexico,7 months using the app,5,"June 27, 2023","Easy to use and just what I needed. I am hoping to receive help in order to change the 
colors & fonts since I have no idea how to use CSS code.",Reputon Customer Reviews App
Antilop,United States,7 months using the app,5,"March 1, 2023",Nice app with a lot of possibilities. I am fully new in this business but it is very easy to configure.,Reputon Customer Reviews App
MonsterCable,Hong Kong SAR,7 months using the app,5,"Edited June 16, 2022","Great review App and support is great, immediately solved a few problems for us right away. Thank you!",Reputon Customer Reviews App
Coolladen,Hong Kong SAR,7 months using the app,5,"June 23, 2022","This App Software is awesome. Was easy to learn and I haven't any Problems yet using it. They are extremely easy to use,",Reputon Customer Reviews App
Belle's Designs and Gifts,United Kingdom,6 months using the app,5,"July 18, 2021","Great app! All set up within 5 minutes! Super easy to use and navigate, very happy & would recommend to anyone :)",Reputon Customer Reviews App
Corleone Collection,New Zealand,6 months using the app,5,"August 31, 2021",i recently installed the app to display testimonials. simple setup. good looks. does not slow down my website.,Reputon Customer Reviews App
Ethclo,France,6 months using the app,5,"August 21, 2023",top ! Installation facile et vraiment pratique sur le site internet. Le carousel d'avis est vraiment un plus sur le site internet,Reputon Customer Reviews App
urbanfurnishing,India,6 months using the app,5,"February 17, 2022",I liked the design and flexibility of the testimonials. Good one with the easy editing options for the testimonials.,Reputon Customer Reviews App
Backpack Citi Store 2023,United States,6 months using the app,5,"March 8, 2023","good app to use and i really recomend them they are the best app to use 
thanks gkykughuiuhioijiojuoijl;kjoio",Reputon Customer Reviews App
modafatshion,Spain,5 months using the app,5,"March 25, 2022","Maravillosa Aplicacion, facil de usar, comoda y da mas confianza a nuestros compradores, 100% recomendada",Reputon Customer Reviews App
Meshele Boutique,United States,5 months using the app,5,"January 19, 2023",I love this app it was very easy to use and made creating my website a breeze. I would recommend it to anyone.,Reputon Customer Reviews App
Afia Candle Co,United States,5 months using the app,5,"March 12, 2023",So far so good. I haven't had any issues. The app was easy to install and add to my website. It took a minute to figure it out.,Reputon Customer Reviews App
MER SKINCARE,Belgium,5 months using the app,5,"February 21, 2023","The best and eye pleasing slider review plugin at this moment.
I am currently using the free version but might upgrade in the future",Reputon Customer Reviews App
baby sleep,India,5 months using the app,5,"November 25, 2022","Good application! I realy like this, but I have a problem - the image is not displayed completely in fullscreen, but is displayed completely on the phone. How to fix it? Layout: Customer Stores",Reputon Customer Reviews App
Mayfair Boutique,Italy,5 months using the app,5,"September 17, 2023",bella,Reputon Customer Reviews App
Lacelux Beauty Boutique,United States,5 months using the app,5,"February 28, 2022",I like how easy it was to add widgets but I did get confused on how I was adding the widgets to the webpage,Reputon Customer Reviews App
Drip Hacks Canada,Canada,5 months using the app,5,"October 18, 2023",nice,Reputon Customer Reviews App
CurlsCrave,Italy,5 months using the app,5,"Edited September 4, 2022","Very good support, thanks a lot for fixing the issue as fast as possible. Also a good app to i crease conversion rate",Reputon Customer Reviews App
Nola Bouza Art Studio,Uruguay,16 minutes using the app,5,"March 16, 2024",instalacion super rapida y facil! gracias Reputon!,Reputon Customer Reviews App
Mountain Mist Equity Clothing,United States,4 months using the app,5,"November 10, 2022",I really liked how easy it was to navigate and operate. I could easily use the interface from my Shopify home and take a look at what I wanted right on my website landing page.,Reputon Customer Reviews App
www.trendingbestsellers.com,United States,4 months using the app,5,"April 29, 2022",Your app is simply awesome. This is what i was looking for all years. i finally got it. great work guys.,Reputon Customer Reviews App
toyscardsnbikes.com,Canada,4 months using the app,5,"July 31, 2022","once i figured it out, its great! Just follow the demo and instructions posted by reputon ... Okay, gotta get out of here now.",Reputon Customer Reviews App
TuneSyncCo,Malaysia,4 months using the app,5,"June 14, 2023","""When I first saw the reputon testimonials, I thought it'd be a waste of money. However after 5 months of usage, it is anything but useless! It's one of the best apps on the market.""",Reputon Customer Reviews App
Dandy Pantry,United States,4 months using the app,5,"November 1, 2022",Easy to understand and use. I was able to get through it in about 10 minutes! No need to request help!,Reputon Customer Reviews App
Goyal's,India,4 months using the app,5,"February 4, 2023","i dont know anything about this app, just have to use, since they are asking me to type anything so ai am typing this",Reputon Customer Reviews App
NoShadows,Austria,4 months using the app,5,"January 31, 2023","Dieses Produkt versteht jeder, nicht nur ich, obwohl ich zugegebenermaßen sehr hyperintelligent bin und nicht für jeden sprechen sollte",Reputon Customer Reviews App
Cocean,France,4 months using the app,5,"October 17, 2023",very nice,Reputon Customer Reviews App
emart99,India,4 months using the app,5,"August 7, 2023",,Reputon Customer Reviews App
Kudldeutschland.de,Germany,4 months using the app,5,"October 11, 2023","Sehr gute Qualität, kann es nur weiter empfehlen. PS. Es kam in 2 Tagen an :)",Reputon Customer Reviews App
Simos earrings,South Africa,3 months using the app,5,"January 11, 2022",I love this app it is super user friendly and easy to use. I can recommend this app to all who wants to create testimonials on the site,Reputon Customer Reviews App
Konvenient,Netherlands,3 months using the app,5,"January 12, 2022",Perfect app for testimonials. Used it for testimonials on the main page. Nice design and enough options. Only used the free plan.,Reputon Customer Reviews App
Ghiaccio,United States,3 months using the app,5,"October 14, 2022",I used this app to help me do x. I really like how it does y. It would be nice if it did z better.,Reputon Customer Reviews App
Pretty Girlz Tings,United States,3 months using the app,5,"April 10, 2023","I recently downloaded and used this and my experience was great. From the moment I opened the app, I fell in love with its simplicity and versatility, does just what I need it to do.",Reputon Customer Reviews App
D'anochii,United States,3 months using the app,5,"September 21, 2022","it was very easy to install,i had no problem with the settings it was easy to work with ,no problems.",Reputon Customer Reviews App
GLWSKN,United States,3 months using the app,5,"September 7, 2022","use esta aplicación para mi tienda en linea y me ayudo bastante es super practica y facil de usar, la super recomiendo",Reputon Customer Reviews App
ADONIO.CZ,Czechia,3 months using the app,5,"September 3, 2022",tato aplikace je super vše funguje a mám radost obchod je ted skvely a moc dekuji budu ji vyuzivat i nadale.,Reputon Customer Reviews App
HIGHOFFLIFE,Canada,3 months using the app,5,"February 14, 2023","i find it this app as the best and active ever i could choose and implement it on my store, i recommend it always",Reputon Customer Reviews App
Takuya Watches,United States,3 months using the app,5,"August 29, 2022","Good app, easy to use than the other app, upgrade plan can help me connect customer reviews from google, Facebook..... good customer service as well",Reputon Customer Reviews App
Reboot Media,United States,3 months using the app,5,"September 8, 2022",great app a++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,Reputon Customer Reviews App
Atlas Preservation,United States,3 months using the app,5,"April 11, 2022",The slideshow to showcase reviews looks great on our website! Easy to use and interactive to add something extra to our homepage,Reputon Customer Reviews App
ONLY THE BEST,Malta,3 months using the app,5,"January 25, 2023","YOU ARE GREAT GUYS .
KEEP UP THE GOOD STUFF
ALL PROFESSIONALY DONE AND WITH RESPECT.
ALL THE BEST AND GOOD LUCK",Reputon Customer Reviews App
Almaga Coffee Company,Mexico,3 months using the app,5,"April 25, 2022",This app is very helpful because anyone visiting your site can read the testimonials of all those happy customers. That is a strong asset to have to increase conversion.,Reputon Customer Reviews App
Residenza Nonno Mella,Italy,3 months using the app,5,"June 8, 2023",per il momento bene con il piano gratuito ma probabilmente farò un upgrade sembra facile da usare...,Reputon Customer Reviews App
Shop Seeker,India,2 months using the app,5,"August 15, 2023",Reputon's Testimonial Slider is a game-changer! Our credibility and conversions skyrocketed after adding it to our website. Highly recommended!,Reputon Customer Reviews App
Glam_Glittz Pres’Ons Nails,United States,2 months using the app,5,"September 5, 2023",very nice workable app,Reputon Customer Reviews App
SifCharge,Hong Kong SAR,2 months using the app,5,"October 13, 2022",Great app and especially Alex's support is exceptional. He goes above and beyond to help you. When we had problems he solved them right away and the reviews look different from the standard. Highly recommended!,Reputon Customer Reviews App
ECOMM FIRE,United States,2 months using the app,5,"March 31, 2022","Awesome app, exactly what I wanted and needed. Able to create my own reviews as well as receive reviews from customers.",Reputon Customer Reviews App
Hockey Force Inc,Canada,2 months using the app,5,"May 24, 2023",Yes great app and i recommand it for sure! Very easy to install and even in multi language thats great,Reputon Customer Reviews App
Alma Création,France,2 months using the app,5,"June 7, 2023","Top customer service! Very available and responsive, they've helped me solve problems quickly.",Reputon Customer Reviews App
outletbellezzacorpo,Italy,About 2 months using the app,5,"May 26, 2022","semplice immediata, ora me la guardo meglio, e valuto se passare al piano premium, avendola installata da pochissimo voglio capire i vantaggi della versione pro. un saluto outlet bellezza corpo.",Reputon Customer Reviews App
BKG.BOOKS,United States,About 2 months using the app,5,"June 29, 2022",I really like this app! Very helpful! You should try this app out. Cool features! Very easy to use. I recommend it.,Reputon Customer Reviews App
CyberBleu,Iraq,About 2 months using the app,5,"September 2, 2023",10/10,Reputon Customer Reviews App
BETACART,India,About 2 months using the app,5,"June 20, 2022",it is the best review it is the best oneeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Reputon Customer Reviews App
Strength Garden,United States,About 2 months using the app,5,"September 26, 2022","I get's the job done, easy to use and what I like most is how you can put it anywhere in your page. It gives you any option so where you can put it is not a problem.",Reputon Customer Reviews App
Enchanted Shadow,United States,About 2 months using the app,5,"October 12, 2022",This app provides credibility to my website and encourages customers to purchase. I highly recommend it for all merchants.,Reputon Customer Reviews App
Game Changers,St. Lucia,About 2 months using the app,5,"June 9, 2022",Very easy to make use of all thanks to them I was able to make my dream and I will recommend others going for this,Reputon Customer Reviews App
joaolohn123,Brazil,About 2 months using the app,5,"July 19, 2022","Great app, help me so much to look my shop more relible, i hope sell too much, i just love it!perfect",Reputon Customer Reviews App
I.S. Charms™️,Hong Kong SAR,About 2 months using the app,5,"September 4, 2023",Very nice app. Would recommend to those who want reviews with a free plan.,Reputon Customer Reviews App
Rabab Music Factory,Egypt,About 2 months using the app,5,"April 14, 2022","Thanks, it's a great help to provide an option to reflect others's experiences and share a good reputation.",Reputon Customer Reviews App
Manana,Portugal,About 2 years using the app,4,"August 9, 2021",had some difficulties with the widgets and reaching customer support. Help wasn't so quick as I expected. Guides could be more user friendly,Reputon Customer Reviews App
KitchenSolutions,Morocco,About 2 months using the app,5,"July 17, 2023",Easy to use,Reputon Customer Reviews App
sumerianstation,United Kingdom,About 2 months using the app,5,"March 26, 2023",very good and amazing app i recommended to every one use this app and they will see what this app do the great job,Reputon Customer Reviews App
Makse Outdoorstore,United States,About 1 month using the app,5,"June 29, 2021","Great app for any merchant to show testimonials from loyal clients, or showcase the best products. Love the variety of styles, especially the Customer Story. Recommended!",Reputon Customer Reviews App
HouseOfGifts.ro,Romania,About 1 month using the app,5,"February 21, 2023",all goodall goodall goodall goodall goodall goodall goodall goodall goodall goodall goodall goodall goodall goodall goodall goodall good,Reputon Customer Reviews App
Desirez,United States,About 1 month using the app,5,"March 28, 2022","I LIKE IT BEST APP EVER HIGHLY RECOMMENDED FOR OTHERS VERY EASY TO ACEESS AND CONVINENT
TESTIMONIAL",Reputon Customer Reviews App
DC Stewart Labs Store,United States,About 1 month using the app,5,"June 23, 2022","I used this app to load my website reviews. It's great and easy to navigate. Thanks, I love it...",Reputon Customer Reviews App
Cathy's Cross,United States,About 1 month using the app,5,"Edited September 20, 2023",I am absolutely loving this Testimonial Slider!  It is so easy to install & you can start getting reviews right away!!  I would highly recommend Reputon Slider Customer Review Bar!!,Reputon Customer Reviews App
MODERNMIND Retreats,Germany,About 1 month using the app,5,"April 13, 2022","läuft wie versprochen.
Besonders die Einladefunktion ist sinnvoll.
Videos funktionieren auch.
Weiterempfehlung ausgesprochen.",Reputon Customer Reviews App
M&A Clothing-Quality at its finest,Canada,About 1 month using the app,5,"Edited August 2, 2021","it was extremely helpful, I recommend it for small businesses that need to build trust around their brand!",Reputon Customer Reviews App
Jacob's Regeneration,United States,About 1 month using the app,5,"September 29, 2023",Good,Reputon Customer Reviews App
Alif Alpha,United Kingdom,About 1 month using the app,5,"July 12, 2022",perfect app i was looking fo its since jan . thank u soo much for creatinng this app its complete app,Reputon Customer Reviews App
Aussie Online Buys,Australia,Over 1 year using the app,4,"Edited September 19, 2022",Had some issues in the beginning but it's working beautifully now thanks to the support team. Thank you!,Reputon Customer Reviews App
SPOREX,United States,About 1 month using the app,5,"April 21, 2023","its easy to use Easy to connect Easy to syanc orderVery good Customer services
Recommanded to everyone Also Easy to downloads 
Easy to get revies about the product and Support is very good form tec team",Reputon Customer Reviews App
FitBag,Australia,About 1 month using the app,5,"March 15, 2023","Very good app, i like the design and everything, The Testimonials things helped me a lot with my website",Reputon Customer Reviews App
Him Clinic,Malaysia,Over 1 year using the app,4,"October 23, 2022",Could be better if the watermark can be disabled with paying extra charges without actually upgrade the plan.,Reputon Customer Reviews App
pettoy,United States,About 1 month using the app,5,"May 24, 2023",Awesome and very unique. I love the app and I recommend it for others. it gives all the necessary features.,Reputon Customer Reviews App
ATHENIAN GAZE,Greece,29 days using the app,5,"November 30, 2023",Good so far! Simple things,Reputon Customer Reviews App
Lotus Lash Collection,United States,26 days using the app,5,"February 4, 2022",very easy to create the testimonals and submit them to my website. this app helped step by step on how to add the reviews.,Reputon Customer Reviews App
Dye Happy,United States,26 days using the app,5,"Edited August 29, 2022",All of our problems were fixed and the application now works flawlessly. Definitely a worthwhile addition to your storefront!,Reputon Customer Reviews App
Relax Therapy,United States,25 days using the app,5,"November 1, 2022",This is a great resource for shop owners. Easy to use and understand. Reviews are vital to the business.,Reputon Customer Reviews App
Crazy Coffee World,United States,25 days using the app,5,"Edited June 21, 2022",Love this app so far. I am using the free version and the way it is going I will probably upgrade later on. Well a hour later I was so impressed that I upgraded.,Reputon Customer Reviews App
OneStopCandles,United States,25 days using the app,5,"September 26, 2023",great app,Reputon Customer Reviews App
The dapper effect,Spain,About 1 year using the app,4,"March 31, 2022",easy to use great and i can edit the reviews and choose which reviews i want to put up on my page brilliant,Reputon Customer Reviews App
Shears Watch Shoppe,Canada,About 1 year using the app,4,"June 28, 2022",Just taking it for a spin but so far it’s very easy to set up and use! Sending emails to customers with the link and easy to use form to have them send through testimonials. Easy!,Reputon Customer Reviews App
TwoDollars,Bulgaria,23 days using the app,5,"March 20, 2023","Very happy with the app. Easy to setup and very intuitive. Still using the free plan, but will upgrade as soon as my store takes off",Reputon Customer Reviews App
OneliTech,France,19 days using the app,5,"January 25, 2023",Bonne application je suis satisfait dommage qu'on ne puissent pas deplacer les avis ou on veut mais j'aime bien,Reputon Customer Reviews App
RH Hijabs Co,Australia,19 days using the app,5,"October 12, 2021",I used this app to collect testimonials for my store and it's made it much easier to do so. Thank you!,Reputon Customer Reviews App
HolzLoft,Austria,10 months using the app,4,"June 6, 2023",yxcyxccxcxcxcxcxcxcxcxcyxcyxcyxcyxcyxcyxcyxcy j ksjdokjsdkofjs sdkvjsokdjvkosjdokvjskod skodjcoksjdco,Reputon Customer Reviews App
Moments Captura,Canada,10 months using the app,4,"November 23, 2022","J'aime l'app, très simple à utiliser et très beau sur ma boutique!
Ça indique que c'est gratuit sur la page de téléchargement mais ils proposent ensuite un essai gratuit seulement.",Reputon Customer Reviews App
iwearjourneylondon,United Kingdom,17 days using the app,5,"May 23, 2023","Simple, easy to use and execute for both the shop owner and the customer. Very happy I came across this app on the store.",Reputon Customer Reviews App
All Season Paws,United States,15 days using the app,5,"July 10, 2023","Reputon Testimonials Slider App is a game-changer! Easy to use, sleek design, and boosts customer trust. Highly recommended!
I found very useful and easy to work on it.",Reputon Customer Reviews App
The Nosy Gal,United States,14 days using the app,5,"March 14, 2022","so far so good, ill keep u guys updated with it, this is the first app that I'm trying to work for my page.",Reputon Customer Reviews App
hippiesbackyard,Canada,13 days using the app,5,"March 18, 2022",AMAZING! This is exactly what I was searching for!! The interface is very good looking and the app is easy to use. The price is affordable which is awesome! Thank you guys for this awesome plug-in!!!,Reputon Customer Reviews App
Tap My Business,Spain,13 days using the app,5,"September 16, 2023",Good app,Reputon Customer Reviews App
Vidalweb,Brazil,12 days using the app,5,"December 22, 2021","muito bom esse app, obrigado pela disponibilidade, grato!....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................",Reputon Customer Reviews App
Gifts2Give,Australia,6 months using the app,4,"March 12, 2022",Easy to use. Options to add testimonials and sync with other platforms. Only annoying thing is that the pop up asking for reviews wont go away unless you give a review hence the 4 stars.,Reputon Customer Reviews App
Qdesignsart,South Africa,11 months using the app,2,"March 6, 2022",I would like to have my clients being able to give feedback after they have visited my site which will appear on the site.,Reputon Customer Reviews App
FitMilia LLC,United States,10 days using the app,5,"September 23, 2021",Smooth process that allowed me to add that extra value to my website. I can understand why that charge after a few testimonials.,Reputon Customer Reviews App
Never Hundred,United Kingdom,5 months using the app,4,"March 15, 2022",its a good app to be honest. I cant complain too much. I would recommend you using this app for sure,Reputon Customer Reviews App
Sentro,China,5 months using the app,4,"July 27, 2022","always lead to provide the review when we use it, seems not a good experience. The location of the testimonial seems not available to",Reputon Customer Reviews App
tellabirdy,Singapore,5 months using the app,4,"October 23, 2023",easy to use,Reputon Customer Reviews App
West Virjeni,United States,8 days using the app,5,"January 27, 2023","Plugin is responsive, easy to use, and works great for our needs. I would recommend this to anyone looking for a quick review plugin",Reputon Customer Reviews App
AreejasWardrobe,Pakistan,8 days using the app,5,"July 27, 2021",This app is good to help for testimonials and this app installation is every easy. Highly recommended,Reputon Customer Reviews App
Agapereiki,United States,4 minutes using the app,5,"February 26, 2024",Easy,Reputon Customer Reviews App
Marsha's Chic Boutique,United States,6 months using the app,3,"May 9, 2022",For now I give this app a 3 due to having issues getting things to work accurately. I'm hoping that once these issues are fixed I can give it a better rating.,Reputon Customer Reviews App
FAIRYSTEPS. Shoes & Such,United Kingdom,5 days using the app,5,"July 19, 2023","So far so good. Ive been looking for a simple shop review app for ages as the product reviews get lost once an item sells out.
The only single thing that needs improving is that new reviews should always be shown first. This app puts new reviews at the end of a carousel so potentially they never get seen. I wish we had the option to show NEW reviews first.
Thanks ever so much.",Reputon Customer Reviews App
My Brother's Cookies,United States,5 months using the app,3,"September 22, 2021",I dont like the fake reviews and testimonies when I first set the widget up. I shared the link for more reviews I hope that the fake reviews don't deter anyone.,Reputon Customer Reviews App
BBQ BOX UK,United Kingdom,5 months using the app,2,"July 11, 2022",Would like to rate higher as the app itself isn't bad however on my site the colour of the customers name (the reviewer) is too dark and doesn't show up on the background - I have messaged now a few times but had no response - unfortunately thinking I will have to look elsewhere if this simple issue cant be resolved.... disappointed that no one from their support has even acknowledged my issue also....,Reputon Customer Reviews App
Slimplus Asia,Indonesia,4 days using the app,5,"November 26, 2021",Bagus sekali apps nya sangat bermanfaat. mudah digunakan juga bahkan untuk pemula sekalipun.. thank you,Reputon Customer Reviews App
Tazoshop,United States,4 days using the app,5,"July 15, 2021","Considering the basic app version is free, I consider it a worthy addition to any Shopify store. Also, appreciate the review link sharing feature.",Reputon Customer Reviews App
Hikayati,France,About 2 months using the app,4,"January 9, 2022","Hello, I really like the app, but I wanted to know if we could modify the color of the sliders with a custom color instead of the binary choice of dark/light. That would help me adapt the slider to my store",Reputon Customer Reviews App
BabiesBand™,Saudi Arabia,3 days using the app,5,"July 15, 2022","amazing so far, it comes with everything you need, including videos as well!, clean design, highly recommended",Reputon Customer Reviews App
Orange baladi,Canada,About 2 months using the app,4,"November 2, 2023","The customer service is amazing, caring, on point! The reason why I'm saying this is because I actually needed it quiiiite a few times, partly because I had custom requests, partly because they're were some bogs or I didn't understand some basic functions (the app could be a little more user-friendly). Overwall, I'm 85% satisfied, which is good!",Reputon Customer Reviews App
Nerd Peculiar Store,Brazil,3 months using the app,3,"August 8, 2022","gostei mais ainda estou testando,leva algum tempo para todas as configurações basicas de funcionamento",Reputon Customer Reviews App
Bon & Cly,Sweden,2 months using the app,3,"April 8, 2023","Unsatisfied with the customer support, very slow customer service or never got response from there end.",Reputon Customer Reviews App
Hobby dei Ricordi,Italy,26 days using the app,4,"April 24, 2023","Devo ancora lavorarci su, ma mi sembra molto intuitiva...
Ottima la configurazione, spero sia facilmente integrabile con shopify.",Reputon Customer Reviews App
www.sowears.net,Pakistan,About 1 month using the app,3,"June 17, 2022","v less customization options, no background no color change, and continously pops up with review adding",Reputon Customer Reviews App
